Stationary,1645033596983,1645033608816
Stationary,1645033615525,1645033710206
Walking-flat-surface,1645033722324,1645033844958
Walking-down-stairs,1645033935571,1645033969406
Walking-up-stairs,1645033980051,1645034016468
Walking-down-stairs,1645034022250,1645034058502
Walking-up-stairs,1645034063068,1645034099795
Walking-down-stairs,1645034104039,1645034137474
Walking-up-stairs,1645034144486,1645034178981
Elevator-down,1645034271861,1645034291515
Elevator-up,1645034297912,1645034316997
Elevator-down,1645034325520,1645034342927
Elevator-up,1645034348167,1645034368047
Elevator-down,1645034373316,1645034394105
Elevator-up,1645034398176,1645034416982
Elevator-down,1645034581928,1645034601854
Running,1645034626723,1645034741181
Elevator-up,1645034766886,1645034787469
