Stationary,1581012561630,1581012562935
Stationary,1581012579037,1581012583959
Stationary,1581013331027,1581013458971
Walking-flat-surface,1581013515959,1581013608207
Walking-up-stairs,1581013612378,1581013664197
Walking-down-stairs,1581013667979,1581013712191
Elevator-up,1581013762416,1581013779667
Elevator-down,1581013788182,1581013807439
Running,1581013850774,1581013873172
Walking-flat-surface,1581013886650,1581013917087
Walking-up-stairs,1581013921521,1581013968614
Walking-down-stairs,1581013971442,1581014008095
Elevator-up,1581014043816,1581014064447
Elevator-down,1581014072462,1581014091196
Running,1581014123760,1581014142084
Running,1581014153480,1581014204078
