Stationary,1645030844203,1645030939805
Walking-flat-surface,1645030952722,1645031076013
Walking-down-stairs,1645031425577,1645031433412
Walking-down-stairs,1645031494245,1645031505246
Walking-up-stairs,1645031512838,1645031525257
Walking-down-stairs,1645031542775,1645031554905
Walking-up-stairs,1645031569374,1645031585474
Walking-down-stairs,1645031599815,1645031613912
Walking-up-stairs,1645031634194,1645031650685
Walking-down-stairs,1645031670820,1645031683737
Walking-up-stairs,1645031716712,1645031731464
Walking-down-stairs,1645031788272,1645031803286
Running,1645031822115,1645031931573
Walking-up-stairs,1645031991408,1645032012026
Elevator-up,1645117947008,1645117972125
Elevator-up,1645117983722,1645118000084
Elevator-down,1645118019161,1645118054958
Elevator-up,1645118069713,1645118111487
Elevator-down,1645118122620,1645118193014
Elevator-up,1645118224621,1645118255942
Elevator-down,1645118281118,1645118324304
