Stationary,1581012987659,1581012999191
Stationary,1581013310902,1581013322045
Stationary,1581013442670,1581013536552
Walking-flat-surface,1581013540680,1581013686481
Walking-up-stairs,1581013698660,1581013729793
Walking-down-stairs,1581013750032,1581013795563
Walking-up-stairs,1581013806609,1581013809075
Walking-down-stairs,1581013854791,1581013895072
Elevator-down,1581013915773,1581013970777
Elevator-up,1581013980864,1581014002149
Elevator-down,1581014014991,1581014030940
Elevator-up,1581014049087,1581014066665
Elevator-down,1581014078957,1581014091594
Running,1581014142853,1581014207342
